last seen position,churned_trial_users,churned_paid_users,active_paid_users
ML Interview Practice::Q3 - Detect Plagiarism::993,,,
Technical Interview Practice::Next Steps::993,,,
Udacity Professional Profile Review::Skills::993,,,
Technical Interview Practice::Stacks Details::993,,,
Udacity Professional Profile Review::Projects::994,,,1
Technical Interview Practice::Stack Practice::994,,,1
Technical Interview Practice::Project Description::994,7,5,10
ML Interview Practice::Q4 - Reduce Data Dimensionality::994,,,
Technical Interview Practice::Queues::995,,,1
Udacity Professional Profile Review::Experience::995,,1,6
ML Interview Practice::Updating Your Professional Profiles::995,1,,1
ML Interview Practice::Q5 - Describe Your ML Project::995,,,1
Technical Interview Practice::Course Introduction::996,6,,1
ML Interview Practice::Online Presence Quiz::996,,,1
ML Interview Practice::Q6 - Explain How SVMs Work::996,,1,
Technical Interview Practice::Queue Practice::996,,,
Technical Interview Practice::Binary Search::997,4,1,
Technical Interview Practice::Course Outline::997,,,
ML Interview Practice::Conclusion::997,,,
ML Interview Practice::Understand Your Career Interests::997,1,,
Technical Interview Practice::Course Expectations::998,,,
Technical Interview Practice::Efficiency of Binary Search::998,,,
ML Interview Practice::Features of the Job You Want::998,2,,
ML Interview Practice::Keep Practicing!::998,,,1
Technical Interview Practice::Binary Search Practice::999,,,2
ML Interview Practice::Role::999,,,
ML Interview Practice::Interview Fails::999,,,
Technical Interview Practice::Syntax::999,,,
Technical Interview Practice::Python Practice::1000,3,,3
Technical Interview Practice::Recursion::1000,,,1
ML Interview Practice::Interviewing Fails: Mike Wales::1000,,,1
ML Interview Practice::Other Job Features::1000,,,
Technical Interview Practice::Efficiency::1001,1,1,1
Technical Interview Practice::Recursion Practice::1001,,,
ML Interview Practice::Finding Jobs Online::1001,1,,1
ML Interview Practice::Interviewing Fails: Siya Raj Purohit::1001,,,
ML Interview Practice::Interviewing Fails: Lyla Fujiwara::1002,1,,
Technical Interview Practice::Intro to Sorting::1002,1,,
Technical Interview Practice::Notation Intro::1002,,,1
ML Interview Practice::Using Your Personal Network to Find Jobs::1002,,,
ML Interview Practice::The Interview is Over. Now What?::1003,,,
ML Interview Practice::Identifying Job Positions::1003,1,,
Technical Interview Practice::Bubble Sort::1003,,,
Technical Interview Practice::Notation Continued::1003,,,
Technical Interview Practice::Worst Case and Approximation::1004,,,
Technical Interview Practice::Efficiency of Bubble Sort::1004,,,
ML Interview Practice::Writing a Cover Letter::1004,,,
ML Interview Practice::Say Thank You!::1004,,,
ML Interview Practice::Customizing Your Resume::1005,1,,
Technical Interview Practice::Bubble Sort Practice::1005,,,1
ML Interview Practice::Self-Reflection::1005,,1,
Technical Interview Practice::Efficiency Practice::1005,1,1,
Technical Interview Practice::Welcome to Collections::1006,1,,
Technical Interview Practice::Merge Sort::1006,,,
ML Interview Practice::Applying to Companies::1006,,,
ML Interview Practice::Act on Your Reflection::1006,,,
ML Interview Practice::Share Your Experience!::1007,,,
Technical Interview Practice::Lists::1007,1,,
Technical Interview Practice::Efficiency of Merge Sort::1007,,,
ML Interview Practice::Applying to Companies Practice::1007,1,,1
Technical Interview Practice::Arrays::1008,,,
ML Interview Practice::Keep in Touch!::1008,,1,
ML Interview Practice::Online Presence is Ready::1008,,,1
Technical Interview Practice::Merge Sort Practice::1008,,,
Technical Interview Practice::Quick Sort::1009,,,1
ML Interview Practice::Research Where You Will Interview::1009,1,1,1
ML Interview Practice::Interviewing Dry-Run Overview::1009,,1,1
Technical Interview Practice::Python Lists::1009,,,
Technical Interview Practice::Linked Lists::1010,,,
ML Interview Practice::Instructions and Tips::1010,,,
ML Interview Practice::Company Research #2::1010,,,
Technical Interview Practice::Efficiency of Quick Sort::1010,,,1
ML Interview Practice::Final Special Instruction::1011,,1,
Technical Interview Practice::Linked Lists in Depth::1011,1,,
Technical Interview Practice::Quick Sort Practice::1011,2,,3
ML Interview Practice::Company Research #3::1011,,,
ML Interview Practice::Start Your Timer Now!::1012,,,
Technical Interview Practice::Linked List Practice::1012,,1,3
ML Interview Practice::Behavioral Questions::1012,,,
Technical Interview Practice::Introduction to Maps::1012,,,
ML Interview Practice::Interview Questions::1013,1,,3
Technical Interview Practice::Sets and Maps::1013,,,
Technical Interview Practice::Stacks::1013,,,
ML Interview Practice::Reflecting on Previous Experiences::1013,,,
ML Interview Practice::Eval & Submission::1014,1,1,4
Technical Interview Practice::Python Dictionaries::1014,,,
Technical Interview Practice::Stacks Details::1014,,,
ML Interview Practice::Tone of Voice::1014,,,
Technical Interview Practice::Stack Practice::1015,,,1
ML Interview Practice::Now You're Ready for Your Interview!::1015,6,1,1
Technical Interview Practice::Introduction to Hashing::1015,,,
ML Interview Practice::Behavioral Question: Handling Conflict::1015,,,
Technical Interview Practice::Hashing::1016,,,
ML Interview Practice::Behavioral Question: Past Projects::1016,,,
Technical Interview Practice::Queues::1016,,,1
Technical Interview Practice::Collisions::1017,,,
Technical Interview Practice::Queue Practice::1017,,,
ML Interview Practice::Tone of Voice for Technical Questions::1017,,,
Technical Interview Practice::Load Factor::1018,,,1
ML Interview Practice::Appearance and Poise::1018,,,
Technical Interview Practice::Binary Search::1018,4,1,
Technical Interview Practice::Hash Maps::1019,,,
ML Interview Practice::Gathering Technical Questions::1019,,,
Technical Interview Practice::Efficiency of Binary Search::1019,,,
Technical Interview Practice::String Keys::1020,,1,
Technical Interview Practice::Binary Search Practice::1020,,,2
"ML Interview Practice::Getting ""Unstuck"" In Technical Questions::1020",,,
Technical Interview Practice::Recursion::1021,,,1
Technical Interview Practice::String Keys Practice::1021,,,
ML Interview Practice::Suggestions for Phone Interviews::1021,,,
ML Interview Practice::Suggestions for In-Person Interviews::1022,,,
Technical Interview Practice::Trees::1022,1,,
Technical Interview Practice::Recursion Practice::1022,,,
Technical Interview Practice::Intro to Sorting::1023,1,,
ML Interview Practice::Planning the Day of the Interview::1023,,,
Technical Interview Practice::Tree Basics::1023,,1,1
Technical Interview Practice::Tree Terminology::1024,,1,
ML Interview Practice::Practice Makes Perfect!::1024,,,1
Technical Interview Practice::Bubble Sort::1024,,,
Technical Interview Practice::Tree Practice::1025,,,
Technical Interview Practice::Efficiency of Bubble Sort::1025,,,
ML Interview Practice::Self Practice: Behavioral Questions::1025,,,
Technical Interview Practice::Bubble Sort Practice::1026,,,1
Technical Interview Practice::Tree Traversal::1026,,,
ML Interview Practice::Peer Practice: Behavioral Questions::1026,,,
ML Interview Practice::Analyzing Behavioral Answers::1027,,,
Technical Interview Practice::Depth-First Traversals::1027,,,
Technical Interview Practice::Merge Sort::1027,,,
Technical Interview Practice::Efficiency of Merge Sort::1028,,,
ML Interview Practice::Time When You Showed Initiative?::1028,,,
Technical Interview Practice::Tree Traversal Practice::1028,,,
Technical Interview Practice::Search and Delete::1029,,,
ML Interview Practice::What Motivates You at the Workplace?::1029,,,
Technical Interview Practice::Merge Sort Practice::1029,,,
ML Interview Practice::A Problem and How You've Dealt With It?::1030,,,
Technical Interview Practice::Insert::1030,,,
Technical Interview Practice::Quick Sort::1030,,,1
Technical Interview Practice::Binary Tree Practice::1031,,,
Technical Interview Practice::Efficiency of Quick Sort::1031,,,1
ML Interview Practice::What Do You Know About the Company?::1031,,,
Technical Interview Practice::Quick Sort Practice::1032,2,,3
ML Interview Practice::Time When You Dealt With Failure?::1032,,,
Technical Interview Practice::Binary Search Trees::1032,,,
ML Interview Practice::Analyzing an Interview::1033,,,2
Technical Interview Practice::Introduction to Maps::1033,,,
Technical Interview Practice::BSTs::1033,,,
Technical Interview Practice::BST Complications::1034,,,
Technical Interview Practice::Sets and Maps::1034,,,
ML Interview Practice::Machine Learning Interview::1034,2,2,3
Technical Interview Practice::Python Dictionaries::1035,,,
Technical Interview Practice::BST Practice::1035,1,,1
ML Interview Practice::Mindset and Skills::1035,,,
Technical Interview Practice::Heaps::1036,,,
ML Interview Practice::Analyzing an Interview::1036,,,2
Technical Interview Practice::Introduction to Hashing::1036,,,
Technical Interview Practice::Heapify::1037,,,
Technical Interview Practice::Hashing::1037,,,
ML Interview Practice::Q1 - Predict Rain::1037,,3,1
Technical Interview Practice::Collisions::1038,,,
ML Interview Practice::Q2 - Identify Fish::1038,2,,3
Technical Interview Practice::Heap Implementation::1038,,,
Technical Interview Practice::Load Factor::1039,,,1
Technical Interview Practice::Self-Balancing Trees::1039,,,
ML Interview Practice::Q3 - Detect Plagiarism::1039,,,
ML Interview Practice::Q4 - Reduce Data Dimensionality::1040,,,
Technical Interview Practice::Hash Maps::1040,,,
Technical Interview Practice::Red-Black Trees - Insertion::1040,,,
Technical Interview Practice::String Keys::1041,,1,
ML Interview Practice::Q5 - Describe Your ML Project::1041,,,1
Technical Interview Practice::Tree Rotations::1041,,,
Technical Interview Practice::String Keys Practice::1042,,,
ML Interview Practice::Q6 - Explain How SVMs Work::1042,,1,
Technical Interview Practice::Graph Introduction::1042,,,
Technical Interview Practice::Trees::1043,1,,
ML Interview Practice::Conclusion::1043,,,
Technical Interview Practice::What Is a Graph?::1043,,,
Technical Interview Practice::Tree Basics::1044,,1,1
Technical Interview Practice::Directions and Cycles::1044,,,
ML Interview Practice::Keep Practicing!::1044,,,1
ML Interview Practice::Interview Fails::1045,,,
Technical Interview Practice::Connectivity::1045,,,
Technical Interview Practice::Tree Terminology::1045,,1,
Technical Interview Practice::Graph Practice::1046,,,
Technical Interview Practice::Tree Practice::1046,,,
ML Interview Practice::Interviewing Fails: Mike Wales::1046,,,1
ML Interview Practice::Interviewing Fails: Siya Raj Purohit::1047,,,
Technical Interview Practice::Tree Traversal::1047,,,
Technical Interview Practice::Graph Representations::1047,,,1
Technical Interview Practice::Depth-First Traversals::1048,,,
ML Interview Practice::Interviewing Fails: Lyla Fujiwara::1048,1,,
Technical Interview Practice::Adjacency Matrices::1048,,,
ML Interview Practice::The Interview is Over. Now What?::1049,,,
Technical Interview Practice::Graph Representation Practice::1049,,,1
Technical Interview Practice::Tree Traversal Practice::1049,,,
Technical Interview Practice::Search and Delete::1050,,,
Technical Interview Practice::Graph Traversal::1050,,,1
ML Interview Practice::Say Thank You!::1050,,,
Technical Interview Practice::Insert::1051,,,
Technical Interview Practice::DFS::1051,,,1
ML Interview Practice::Self-Reflection::1051,,1,
Technical Interview Practice::BFS::1052,,,
Technical Interview Practice::Binary Tree Practice::1052,,,
ML Interview Practice::Act on Your Reflection::1052,,,
Technical Interview Practice::Graph Traversal Practice::1053,,,1
Technical Interview Practice::Binary Search Trees::1053,,,
ML Interview Practice::Share Your Experience!::1053,,,
ML Interview Practice::Keep in Touch!::1054,,1,
Technical Interview Practice::Eulerian Path::1054,1,,
Technical Interview Practice::BSTs::1054,,,
ML Interview Practice::Interviewing Dry-Run Overview::1055,,1,1
Technical Interview Practice::Case Study Introduction::1055,,1,
Technical Interview Practice::BST Complications::1055,,,
Technical Interview Practice::BST Practice::1056,1,,1
ML Interview Practice::Instructions and Tips::1056,,,
Technical Interview Practice::Shortest Path Problem::1056,,,
ML Interview Practice::Final Special Instruction::1057,,1,
Technical Interview Practice::Heaps::1057,,,
Technical Interview Practice::Dijkstra's Algorithm::1057,1,,
Technical Interview Practice::Heapify::1058,,,
ML Interview Practice::Start Your Timer Now!::1058,,,
Technical Interview Practice::Knapsack Problem::1058,,,
ML Interview Practice::Interview Questions::1059,1,,3
Technical Interview Practice::A Faster Algorithm::1059,,,
Technical Interview Practice::Heap Implementation::1059,,,
ML Interview Practice::Eval & Submission::1060,1,1,4
Technical Interview Practice::Self-Balancing Trees::1060,,,
Technical Interview Practice::Dynamic Programming::1060,,,
Technical Interview Practice::Traveling Salesman Problem::1061,,,
ML Interview Practice::Now You're Ready for Your Interview!::1061,6,1,1
Technical Interview Practice::Red-Black Trees - Insertion::1061,,,
Technical Interview Practice::Exact and Approximate Algorithms::1062,,,1
